intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,maxAge,longTermDebt,accountsPayable,symbol,goodWill,deferredLongTermAssetCharges,minorityInterest,deferredLongTermLiab
"11,339,000,000","12,853,000,000","116,750,000,000","50,934,000,000","15,829,000,000","167,684,000,000",,"11,121,000,000","16,289,000,000","31,491,000,000","12,068,000,000","-4,531,000,000","9,085,000,000","1,053,000,000","92,225,000,000","500,000,000","-2,159,000,000",,"33,588,000,000","98,340,000,000","29,463,000,000","3,479,000,000","10,193,000,000",1,"12,457,000,000","72,339,000,000",CB,"15,332,000,000",,,
836000000,1286000000,15206000000,9131000000,2896000000,24337000000,1561852800,397000000,790000000,8566000000,11426000000,-1118000000,1201000000,803000000,2933000000,,364000000,222000000,3652000000,18395000000,9050000000,,1989000000,1,788000000,,CINF,31000000,,,
836M,1.29B,15.21B,9.13B,2.9B,24.34B,2019-06-30,397M,790M,8.57B,11.43B,-1.12B,1.2B,803M,2.93B,,364M,222M,3.65B,18.39B,9.05B,,1.99B,1,788M,,CINF,31M,,,
"836,000,000","1,286,000,000","15,206,000,000","9,131,000,000","2,896,000,000","24,337,000,000",,"397,000,000","790,000,000","8,566,000,000","11,426,000,000","-1,118,000,000","1,201,000,000","803,000,000","2,933,000,000",,"364,000,000","222,000,000","3,652,000,000","18,395,000,000","9,050,000,000",,"1,989,000,000",1,"788,000,000",,CINF,"31,000,000",,,
751000000,1277000000,14722000000,8630000000,2717000000,23352000000,1553990400,397000000,798000000,8229000000,11128000000,-1273000000,1193000000,802000000,2749000000,,210000000,202000000,3507000000,17699000000,8630000000,,1857000000,1,788000000,,CINF,,,,
751M,1.28B,14.72B,8.63B,2.72B,23.35B,2019-03-31,397M,798M,8.23B,11.13B,-1.27B,1.19B,802M,2.75B,,210M,202M,3.51B,17.7B,8.63B,,1.86B,1,788M,,CINF,,,,
"751,000,000","1,277,000,000","14,722,000,000","8,630,000,000","2,717,000,000","23,352,000,000",,"397,000,000","798,000,000","8,229,000,000","11,128,000,000","-1,273,000,000","1,193,000,000","802,000,000","2,749,000,000",,"210,000,000","202,000,000","3,507,000,000","17,699,000,000","8,630,000,000",,"1,857,000,000",1,"788,000,000",,CINF,,,,
738000000,1281000000,14102000000,7833000000,2516000000,21935000000,1546214400,397000000,616000000,7625000000,8810000000,-1470000000,1174000000,784000000,4458000000,,22000000,195000000,3159000000,16669000000,7833000000,,1715000000,1,788000000,1910000000,CINF,,,,
738M,1.28B,14.1B,7.83B,2.52B,21.93B,2018-12-31,397M,616M,7.62B,8.81B,-1.47B,1.17B,784M,4.46B,,22M,195M,3.16B,16.67B,7.83B,,1.72B,1,788M,1.91B,CINF,,,,
"738,000,000","1,281,000,000","14,102,000,000","7,833,000,000","2,516,000,000","21,935,000,000",,"397,000,000","616,000,000","7,625,000,000","8,810,000,000","-1,470,000,000","1,174,000,000","784,000,000","4,458,000,000",,"22,000,000","195,000,000","3,159,000,000","16,669,000,000","7,833,000,000",,"1,715,000,000",1,"788,000,000","1,910,000,000",CINF,,,,
743000000,1273000000,14146000000,8334000000,2591000000,22480000000,1538265600,397000000,553000000,8164000000,10695000000,-1500000000,1153000000,616000000,2621000000,,-4000000,191000000,2991000000,17402000000,8334000000,,1778000000,1,787000000,,CINF,,,,
